username,followers,median_engagement,score,tweets_used
cristiano,105495892,355034.0,15.627077118179859,13
rihanna,96293894,315792.0,15.522878846875173,3
imvkohli,65872866,73112.0,14.601499326649343,3
justinbieber,89838725,37794.0,14.426729392627191,14
louis_tomlinson,28857302,81469.0,14.242931894552203,15
joebiden,37860472,47365.0,14.107539073893406,3
ladygaga,70382484,20067.5,13.988180849071203,6
narendramodi,106085318,13115.5,13.980690241581954,20
iamcardib,37044994,35450.5,13.951782328522036,10
jk_rowling,13830504,94345.0,13.948555686179308,12
beingSalmanKhan,42230008,21061.0,13.75693369398464,7
nasa,88413722,9695.0,13.738503230712713,12
iamsrk,40330333,17159.0,13.631475410766692,3
dualipa,10471901,34485.0,13.306257475899695,6
akshaykumar,44469022,5241.0,13.087380888130783,9
txt_bighit,11305201,18655.0,13.03734831044235,17
anitta,18767702,11051.0,13.029007355492652,11
realmadrid,48921923,4139.0,13.017093632173399,19
sachin_rt,39148231,5172.0,13.017036944871236,5
stephenking,6729300,29553.0,13.00797810519583,18
johncena,12703209,13492.0,12.933645793413863,19
fcbarcelona,46184940,3484.0,12.902193836865807,20
x,60279042,2569.0,12.8830781167867,5
manutd,37816055,3960.0,12.866248064965347,20
premierleague,44811600,2402.0,12.701225425246271,19
espn,56870495,1819.5,12.681576854253148,14
priyankachopra,24758868,3600.0,12.606830594936259,7
kyliejenner,37383146,2315.0,12.592163692273473,6
playstation,42565221,1953.0,12.572090962721052,17
samsmith,6981847,11140.0,12.53860573610153,6
neymarjr,58244545,1327.0,12.535795172580764,5
youtube,68031502,1021.0,12.48249910301751,15
aespa_official,4577144,14649.0,12.464390806859509,19
madonna,2712088,22635.0,12.420263291437756,4
halsey,13040714,4599.0,12.408699263362566,20
wwe,13222808,4285.0,12.380281513469843,17
jimmyfallon,43257344,1132.5,12.30787153673022,6
naval,2997935,16001.0,12.296951801630922,5
cnn,61065402,676.0,12.22256365050146,20
srbachchan,44964166,903.5,12.214379373237328,20
sundarpichai,5696802,7031.0,12.206821068813177,9
lexfridman,4538295,7429.0,12.120671653439388,7
khloekardashian,27719722,1197.0,12.113031759063224,6
markruffalo,7800068,4216.0,12.10826119576055,3
cnnbrk,59228919,535.0,12.090527327577336,20
jack,6332178,4919.0,12.081109389089558,5
pitbull,18517972,1089.0,11.864092653585715,3
wayv_official,2378879,8464.0,11.862917820609102,17
karpathy,1627337,11217.5,11.813887794619918,6
jbalvin,9862630,1445.0,11.690409964701507,13
nytimes,52726190,265.0,11.68205959088019,13
le_sserafim,1818034,7133.5,11.642982127915033,16
edsheeran,14687084,789.0,11.58725601980569,9
FoxNews,27832921,404.5,11.573425498078063,16
usher,9835172,1138.0,11.569690781668356,3
simuliu,1001309,10695.0,11.547222409722341,17
trevornoah,10878968,925.5,11.51687803979898,4
thechainsmokers,2970879,3180.0,11.484659827468622,3
tinashe,1031665,8504.0,11.447547517029461,6
satyanadella,3552817,2195.0,11.388822226001547,5
snoopdogg,18696905,410.5,11.381838816853687,14
nmixx_official,1228792,6133.0,11.371572644709467,14
wizkhalifa,31357949,221.0,11.331827881642049,20
michaeljburry,1677931,2788.5,11.133345144019943,20
dontoliver,569050,8099.0,11.125672340341922,5
machinegunkelly,1503532,2850.0,11.089376659434343,15
AP,15360280,213.0,10.956635797404573,20
balajis,1266934,1913.0,10.80453086385565,16
6ix9ine,739693,2386.0,10.64589224624269,7
washingtonpost,19303977,61.5,10.455494151684269,16
WSJ,20605764,44.0,10.323871969373567,20
TIME,18470664,47.0,10.30144768338326,20
patrickc,613502,1378.0,10.278027155444999,9
NBCNews,9268176,70.5,10.155897356011758,20
morganhousel,615457,937.0,10.08693596703954,5
TheEconomist,25794047,20.5,10.066853630368122,20
dhh,594490,860.0,10.026777680327017,19
Forbes,20268525,22.0,9.980037006705158,20
zerohedge,2432955,165.5,9.909806423176747,10
cdixon,898938,380.0,9.82588491655407,3
Jason,1068076,236.0,9.674715267208398,9
politico,4464025,51.5,9.63618738849833,18
charliebilello,725862,301.0,9.602771794070286,11
mchammer,2689129,48.0,9.348274288651373,14
LizAnnSonders,509214,53.0,8.564804824884538,19
axios,721959,12.0,8.027337186069861,20
